YEAR	JF_Reg1	JF_Reg2	JF_Reg3	JF_Reg4	JF_Reg5	JF_Reg6	JF_Reg7	JF_Reg8	AM_Reg1	AM_Reg2	AM_Reg3	AM_Reg4	AM_Reg5	AM_Reg6	AM_Reg7	AM_Reg8	AM_Reg9	JA_Reg1	JA_Reg2	JA_Reg3	JA_Reg4	JA_Reg5	JA_Reg6	JA_Reg7	ON_Reg1	ON_Reg2	ON_Reg3	ON_Reg4	ON_Reg5	ON_Reg6	ON_Reg7	ON_Reg8	ON_Reg9
1957	25.83333333	26.71428571	29.38235294	34.07142857	39.2	40.8	43.7826087	38.31578947	31.03846154	43.22727273	35.15789474	42.83333333	36.5625	37.85714286	45.9	35.48484848	29.4	44.55555556	42.47058824	51.13793103	58.13793103	46.33333333	50.13636364	49.92307692	42.77777778	40.4375	40.92	37.39130435	42.82352941	51.96	45.70588235	43.88235294	61.46153846
1958	29.16666667	25.66666667	27.97058824	37.35714286	31.46666667	28.06666667	36.34782609	31.36842105	35.07692308	48.86363636	38.36842105	41.5	35.25	42.92857143	39.7	48.15151515	42.6	40.11111111	42.70588235	45.74137931	48	47.625	47.59090909	46.38461538	28.55555556	30.1875	35.68	37.95652174	45.23529412	49.44	38.11764706	45.88235294	48.07692308
1959	26.41666667	26	28.70588235	35	33.51111111	37.66666667	39.08695652	21.78947368	36.19230769	47.54545455	36.94736842	41.3	40.25	35.85714286	44.1	39.27272727	32.2	42.05555556	43.17647059	47.51724138	49.20689655	53.45833333	50.86363636	56.76923077	27.77777778	33.5	37.96	41.91304348	39.91176471	49.44	44.29411765	48.23529412	46.69230769
1960	25.33333333	28.76190476	29.14705882	34.14285714	35.8	33.2	36.26086957	32.52631579	34.38461538	37.81818182	38.05263158	42.8	41.9375	37.85714286	44.05	37.75757576	34.3	40.22222222	44.23529412	51.81034483	50.37931034	49.75	48	46.07692308	42.11111111	45.375	41.04	39.08695652	43.47058824	49.16	43.11764706	44.29411765	44.23076923
1961	27.16666667	28.19047619	29.79411765	35.57142857	38.73333333	34	39.95652174	35.63157895	37.96153846	52.31818182	38.52631579	47.46666667	41.1875	33.07142857	38.5	43.33333333	50.9	42.61111111	45.17647059	48.9137931	59.17241379	51.91666667	50.5	52.38461538	27.66666667	29.875	34.2	39.08695652	45.88235294	50.6	45.17647059	51.64705882	48.61538462
1962	27.5	27.52380952	28.47058824	31.5	35.64444444	38.46666667	47.73913043	34.52631579	40.19230769	48.40909091	35.31578947	44.23333333	42.5	43	40.95	42.39393939	38.6	51.33333333	51.76470588	50.24137931	54.20689655	47.41666667	47.09090909	49.15384615	49	34.125	30.52	34.82608696	44	49.6	39.47058824	48.58823529	48.38461538
1963	27.08333333	25.42857143	27.02941176	31.85714286	39.8	33.46666667	38.86956522	34.57894737	29.15384615	48.81818182	45.10526316	47.13333333	36.625	36.85714286	40.2	39.78787879	28.7	43.27777778	43.17647059	48.94827586	57.72413793	50.08333333	48.90909091	50.07692308	23.88888889	33.5625	44	34.26086957	42.32352941	47.44	44.52941176	48.88235294	48.15384615
1964	29.25	27.28571429	29.38235294	33.64285714	39.53333333	31.8	36.47826087	28.36842105	32.53846154	49.68181818	47.94736842	49.93333333	38.8125	36.42857143	42.2	42.54545455	40.2	42.05555556	43.82352941	46.12068966	55.06896552	50.08333333	51.45454545	56.07692308	30.11111111	35.9375	44.72	42.86956522	44.70588235	47.44	44.35294118	47.52941176	53.46153846
1965	29.16666667	27.04761905	27.97058824	33.5	44.02222222	34.93333333	39.86956522	28.68421053	37.07692308	51.45454545	35.21052632	42.53333333	38.9375	34.28571429	43.8	44.39393939	38.4	47	44	42.55172414	64.37931034	49.66666667	49.59090909	47.69230769	46.77777778	42.4375	39.88	35.04347826	44.67647059	43.36	41.29411765	47.35294118	42.84615385
1966	26.08333333	25.52380952	30.41176471	35	32.04444444	32.33333333	36.52173913	39.57894737	38.53846154	38.77272727	37.42105263	42.26666667	46.1875	35.92857143	39.55	44.81818182	46.8	40.83333333	40.17647059	46.20689655	55.89655172	47.54166667	50.54545455	46.07692308	50	63.875	44.4	37.17391304	43.29411765	49.04	46.70588235	53.82352941	49
1967	27.33333333	30.80952381	29.97058824	36.14285714	41.42222222	34.93333333	39.73913043	24.78947368	30.61538462	44.90909091	38.47368421	43.33333333	41	35	40.05	43.39393939	36.4	40	41	45.5	64.89655172	51.75	52.22727273	52.46153846	41.33333333	43.5625	33.84	37.34782609	43	48.88	41.58823529	49.94117647	50.53846154
1968	24.58333333	26	27.5	31.57142857	39.66666667	34.8	39.65217391	38.15789474	30.96153846	49.18181818	34.84210526	40.76666667	43.3125	31.71428571	37.2	38	30.9	42.16666667	42.76470588	48.05172414	46.27586207	50.95833333	46.72727273	45.76923077	35.77777778	39.75	50.12	34.91304348	40.91176471	44.96	38.82352941	42.11764706	47.69230769
1969	28.91666667	26.52380952	28.91176471	36	34.82222222	34.2	34.26086957	31.89473684	40.30769231	52.86363636	43.31578947	43.23333333	43.3125	41.85714286	47.75	40.78787879	32.8	48.55555556	44	43.20689655	56.96551724	49.04166667	48.40909091	59.76923077	45	34.875	39.12	37.73913043	41.47058824	46.96	39.41176471	50.05882353	44
1970	25.66666667	29.28571429	28.38235294	32.28571429	37.02222222	35.13333333	42.91304348	35.42105263	40.23076923	39.63636364	38.21052632	43.26666667	44.1875	42.35714286	44.5	42.6969697	32	39.33333333	41.64705882	47.25862069	52.86206897	51.5	52	48.69230769	26.88888889	35.5	40.84	37.60869565	46.02941176	42.28	35.47058824	53.70588235	54.84615385
1971	27	27.71428571	27.64705882	31.92857143	38.95555556	36.33333333	43.47826087	32.57894737	37.42307692	46.40909091	36.36842105	43.3	44.0625	35.42857143	39.05	39.57575758	30.1	45.5	41.64705882	45.65517241	57.93103448	49.70833333	53.36363636	55.30769231	42.11111111	41.1875	51.84	34.52173913	42.61764706	48.64	44.70588235	52.23529412	54.69230769
1972	26.33333333	27.04761905	30.17647059	32	44.82222222	38.8	43	29.21052632	41	49.54545455	38.05263158	46.6	35.0625	40.07142857	45.2	38	29.2	56.05555556	47	44.12068966	55.17241379	49.70833333	52.40909091	50.92307692	29.22222222	35.875	42.96	34.91304348	41.55882353	47.28	40.52941176	48.94117647	59.07692308
1973	30.41666667	28	28.20588235	35	32.53333333	31.86666667	42.2173913	32.52631579	32.34615385	37.09090909	38.05263158	43.43333333	42.8125	29.78571429	38.9	40.06060606	35.7	41.61111111	43.94117647	50.17241379	49.86206897	47.66666667	51.22727273	48.84615385	27.55555556	39.4375	41.4	34.65217391	43.20588235	47.2	43.70588235	44.11764706	57.07692308
1974	25.5	27.38095238	29.70588235	31.71428571	38.71111111	37	43.82608696	31.36842105	39.5	49.5	37.73684211	42.56666667	43.25	39.78571429	42.05	37.84848485	34.7	42.33333333	41.52941176	50.62068966	57.4137931	48.79166667	49.95454545	50.23076923	31.77777778	43.9375	36	36.08695652	40.97058824	50.92	42.88235294	48.70588235	54.92307692
1975	26.33333333	29.61904762	28.41176471	33.07142857	39.28888889	37.73333333	43.52173913	29.89473684	30.30769231	41.36363636	34.94736842	42.93333333	38.625	32.85714286	39.8	30.96969697	30.2	43.05555556	43.52941176	46.68965517	55.5862069	48.875	51	51.46153846	35.11111111	30.125	36.2	34.95652174	43.38235294	47.84	48.94117647	47.41176471	51.92307692
