month,longitude,"r,p<0.1",index,yrmin,yrmax
Jun,-110,NA,mexicoarea,2004,2018
Jun,-107.5,NA,mexicoarea,2004,2018
Jun,-105,NA,mexicoarea,2004,2018
Jun,-102.5,0.442857143,mexicoarea,2004,2018
Jun,-100,NA,mexicoarea,2004,2018
Jun,-97.5,0.442857143,mexicoarea,2004,2018
Jun,-95,NA,mexicoarea,2004,2018
Jun,-92.5,NA,mexicoarea,2004,2018
Jun,-90,NA,mexicoarea,2004,2018
Jun,-87.5,NA,mexicoarea,2004,2018
Jun,-85,NA,mexicoarea,2004,2018
Jun,-82.5,NA,mexicoarea,2004,2018
Jun,-80,0.582142857,mexicoarea,2004,2018
Jun,-77.5,0.596428571,mexicoarea,2004,2018
Jun,-75,NA,mexicoarea,2004,2018
Jun,-72.5,NA,mexicoarea,2004,2018
Jun,-70,NA,mexicoarea,2004,2018
Jun,-67.5,NA,mexicoarea,2004,2018
Jun,-65,NA,mexicoarea,2004,2018
Jun,-62.5,NA,mexicoarea,2004,2018
Jun,-60,NA,mexicoarea,2004,2018
Jul,-110,NA,mexicoarea,2004,2018
Jul,-107.5,NA,mexicoarea,2004,2018
Jul,-105,NA,mexicoarea,2004,2018
Jul,-102.5,NA,mexicoarea,2004,2018
Jul,-100,NA,mexicoarea,2004,2018
Jul,-97.5,NA,mexicoarea,2004,2018
Jul,-95,NA,mexicoarea,2004,2018
Jul,-92.5,NA,mexicoarea,2004,2018
Jul,-90,NA,mexicoarea,2004,2018
Jul,-87.5,NA,mexicoarea,2004,2018
Jul,-85,NA,mexicoarea,2004,2018
Jul,-82.5,NA,mexicoarea,2004,2018
Jul,-80,NA,mexicoarea,2004,2018
Jul,-77.5,NA,mexicoarea,2004,2018
Jul,-75,NA,mexicoarea,2004,2018
Jul,-72.5,NA,mexicoarea,2004,2018
Jul,-70,NA,mexicoarea,2004,2018
Jul,-67.5,NA,mexicoarea,2004,2018
Jul,-65,NA,mexicoarea,2004,2018
Jul,-62.5,NA,mexicoarea,2004,2018
Jul,-60,NA,mexicoarea,2004,2018
Aug,-110,NA,mexicoarea,2004,2018
Aug,-107.5,NA,mexicoarea,2004,2018
Aug,-105,NA,mexicoarea,2004,2018
Aug,-102.5,NA,mexicoarea,2004,2018
Aug,-100,NA,mexicoarea,2004,2018
Aug,-97.5,0.475,mexicoarea,2004,2018
Aug,-95,0.45,mexicoarea,2004,2018
Aug,-92.5,NA,mexicoarea,2004,2018
Aug,-90,NA,mexicoarea,2004,2018
Aug,-87.5,NA,mexicoarea,2004,2018
Aug,-85,NA,mexicoarea,2004,2018
Aug,-82.5,NA,mexicoarea,2004,2018
Aug,-80,NA,mexicoarea,2004,2018
Aug,-77.5,NA,mexicoarea,2004,2018
Aug,-75,NA,mexicoarea,2004,2018
